lead_id,created_at,brand,utm_source,utm_medium,utm_campaign,lead_status,deal_amount_usd
L-80515,2026-05-30 10:32:00,PKF,tiktok,paid_social,PKF_TikTok_Spark_2026Q2,Lead,
L-79505,2026-07-10 13:03:00,NMB,google,cpc,NMB_US_Search_Brand_2026Q2,MQL,
L-79136,2026-05-26 15:37:00,NMB,adwords,cpc,NMB_US_Search_Brand_2026Q2,SQL,
L-74601,2026-05-16 19:30:00,NMB,fb,paid_social,NMB_US_Meta_Prospecting_2026Q2,Lead,
L-73504,2026-07-01 17:54:00,PKF,Facebook,paid_social,PKF_US_Meta_Conversions,SQL,
L-77768,2026-05-26 19:50:00,PKF,Google Ads,cpc,PKF_US_Search_Brand_2026Q2,Lead,
L-80143,2026-06-17 20:30:00,AUR,,,,Lead,
L-76398,2026-05-20 18:06:00,AUR,,,,MQL,
L-78643,2026-05-10 09:39:00,PKF,google,cpc,pkf|nonbrand|search|may26,MQL,
L-74367,2026-07-18 13:52:00,PKF,Facebook,paid_social,PKF_CA_Meta_Prospecting,Lead,
L-72209,2026-05-18 18:12:00,AUR,fb,paid_social,aurelia|prospecting|meta|may26,Lead,
L-74882,2026-06-12 08:20:00,NMB,,,,Lead,
L-78848,2026-07-11 15:13:00,PKF,google,cpc,pkf|nonbrand|search|may26,SQL,
L-71891,2026-07-13 17:42:00,AUR,,,,Closed Won,3600
L-72580,2026-07-31 21:33:00,AUR,,,,SQL,
L-79607,2026-07-22 12:21:00,NMB,google,cpc,NMB_US_Search_Brand_2026Q2,Lead,
L-81303,2026-05-11 11:11:00,AUR,,,,Lead,
L-77386,2026-07-18 18:07:00,AUR,Google Ads,cpc,AUR_EU_Search_NonBrand_2026Q2,MQL,
L-78591,2026-07-31 16:16:00,PKF,,,,Closed Won,8800
L-80535,2026-05-30 20:50:00,PKF,TikTok,paid_social,PKF_TikTok_Spark_2026Q2,Lead,
L-75298,2026-07-20 15:54:00,NMB,meta,paid_social,NMB_US_Meta_Prospecting_2026Q2,Lead,
L-77518,2026-05-08 11:19:00,PKF,google,cpc,PKF_US_Search_Brand_2026Q2,SQL,
L-74185,2026-06-19 13:21:00,PKF,paid_social,paid_social,PKF_CA_Meta_Prospecting,Lead,
L-81038,2026-06-04 18:51:00,NMB,TikTok,paid_social,NMB_TikTok_Prospecting_2026Q2,Lead,
L-72349,2026-06-19 10:09:00,AUR,,,,Lead,
L-75681,2026-05-26 18:12:00,NMB,facebook,paid_social,NMB_US_Meta_Retargeting_2026Q2,Lead,
L-72655,2026-05-06 11:35:00,PKF,facebook,paid_social,PKF_US_Meta_Conversions,MQL,
L-79710,2026-05-25 18:33:00,NMB,Google Ads,cpc,NMB_US_PMax_2026Q2,MQL,
L-72849,2026-05-19 20:03:00,PKF,facebook,paid_social,PKF_US_Meta_Conversions,Lead,
L-72931,2026-05-24 15:00:00,PKF,paid_social,paid_social,PKF_US_Meta_Conversions,Lead,
