date,campaign_id,campaign_name,impressions,clicks,spend,conversions,extracted_at
2026-05-01,F-1001,AUR_US_Meta_Prospecting_2026Q2,33063,336,292.77,11,2026-08-01 03:12:44
2026-05-02,F-1001,AUR_US_Meta_Prospecting_2026Q2,25706,264,228.54,7,2026-08-01 03:12:44
2026-05-03,F-1001,AUR_US_Meta_Prospecting_2026Q2,20545,259,215.22,2,2026-08-01 03:12:44
2026-05-04,F-1001,AUR_US_Meta_Prospecting_2026Q2,36752,423,365.29,13,2026-08-01 03:12:44
2026-05-05,F-1001,AUR_US_Meta_Prospecting_2026Q2,28594,278,275.68,13,2026-08-01 03:12:44
2026-05-06,F-1001,AUR_US_Meta_Prospecting_2026Q2,39065,377,342.55,7,2026-08-01 03:12:44
2026-05-07,F-1001,AUR_US_Meta_Prospecting_2026Q2,36828,359,332.97,13,2026-08-01 03:12:44
2026-05-08,F-1001,AUR_US_Meta_Prospecting_2026Q2,31472,302,284.3,9,2026-08-01 03:12:44
2026-05-09,F-1001,AUR_US_Meta_Prospecting_2026Q2,25184,311,245.97,9,2026-08-01 03:12:44
2026-05-10,F-1001,AUR_US_Meta_Prospecting_2026Q2,27236,330,239.31,8,2026-08-01 03:12:44
2026-05-11,F-1001,AUR_US_Meta_Prospecting_2026Q2,29947,288,300.27,7,2026-08-01 03:12:44
2026-05-12,F-1001,AUR_US_Meta_Prospecting_2026Q2,39092,415,372.08,21,2026-08-01 03:12:44
2026-05-13,F-1001,AUR_US_Meta_Prospecting_2026Q2,34260,424,344.39,9,2026-08-01 03:12:44
2026-05-14,F-1001,AUR_US_Meta_Prospecting_2026Q2,31973,381,298.49,9,2026-08-01 03:12:44
2026-05-15,F-1001,AUR_US_Meta_Prospecting_2026Q2,33721,373,316.62,9,2026-08-01 03:12:44
2026-05-16,F-1001,AUR_US_Meta_Prospecting_2026Q2,22593,211,221.74,7,2026-08-01 03:12:44
2026-05-17,F-1001,AUR_US_Meta_Prospecting_2026Q2,17425,193,180.82,10,2026-08-01 03:12:44
2026-05-18,F-1001,AUR_US_Meta_Prospecting_2026Q2,34041,359,298.71,7,2026-08-01 03:12:44
2026-05-19,F-1001,AUR_US_Meta_Prospecting_2026Q2,38395,364,339.74,12,2026-08-01 03:12:44
2026-05-20,F-1001,AUR_US_Meta_Prospecting_2026Q2,36785,406,386.71,18,2026-08-01 03:12:44
2026-05-21,F-1001,AUR_US_Meta_Prospecting_2026Q2,38368,373,371.97,14,2026-08-01 03:12:44
2026-05-22,F-1001,AUR_US_Meta_Prospecting_2026Q2,29766,324,281.13,8,2026-08-01 03:12:44
2026-05-23,F-1001,AUR_US_Meta_Prospecting_2026Q2,18819,214,190.68,7,2026-08-01 03:12:44
2026-05-24,F-1001,AUR_US_Meta_Prospecting_2026Q2,24549,241,219.88,6,2026-08-01 03:12:44
2026-05-25,F-1001,AUR_US_Meta_Prospecting_2026Q2,35287,330,311.49,6,2026-08-01 03:12:44
2026-05-26,F-1001,AUR_US_Meta_Prospecting_2026Q2,32413,380,331.43,14,2026-08-01 03:12:44
2026-05-27,F-1001,AUR_US_Meta_Prospecting_2026Q2,41171,402,369.78,7,2026-08-01 03:12:44
2026-05-28,F-1001,AUR_US_Meta_Prospecting_2026Q2,34869,334,365.84,8,2026-08-01 03:12:44
2026-05-29,F-1001,AUR_US_Meta_Prospecting_2026Q2,27026,318,259.69,13,2026-08-01 03:12:44
2026-05-30,F-1001,AUR_US_Meta_Prospecting_2026Q2,29851,290,261.22,10,2026-08-01 03:12:44
2026-05-31,F-1001,AUR_US_Meta_Prospecting_2026Q2,23484,243,246.4,13,2026-08-01 03:12:44
2026-06-01,F-1001,AUR_US_Meta_Prospecting_2026Q2,35231,369,307.24,13,2026-08-01 03:12:44
2026-06-02,F-1001,AUR_US_Meta_Prospecting_2026Q2,25442,308,268.13,13,2026-08-01 03:12:44
2026-06-03,F-1001,AUR_US_Meta_Prospecting_2026Q2,38396,383,341.16,11,2026-08-01 03:12:44
2026-06-04,F-1001,AUR_US_Meta_Prospecting_2026Q2,37463,394,361.07,13,2026-08-01 03:12:44
2026-06-05,F-1001,AUR_US_Meta_Prospecting_2026Q2,30541,299,303.67,6,2026-08-01 03:12:44
2026-06-06,F-1001,AUR_US_Meta_Prospecting_2026Q2,21946,213,200.04,7,2026-08-01 03:12:44
2026-06-07,F-1001,AUR_US_Meta_Prospecting_2026Q2,20983,212,181.5,7,2026-08-01 03:12:44
2026-06-08,F-1001,AUR_US_Meta_Prospecting_2026Q2,40266,385,361.36,12,2026-08-01 03:12:44
2026-06-09,F-1001,AUR_US_Meta_Prospecting_2026Q2,36026,446,345.15,16,2026-08-01 03:12:44
2026-06-10,F-1001,AUR_US_Meta_Prospecting_2026Q2,36734,421,327.49,15,2026-08-01 03:12:44
2026-06-11,F-1001,AUR_US_Meta_Prospecting_2026Q2,32709,331,294.5,8,2026-08-01 03:12:44
2026-06-12,F-1001,AUR_US_Meta_Prospecting_2026Q2,31396,324,283.78,19,2026-08-01 03:12:44
2026-06-13,F-1001,AUR_US_Meta_Prospecting_2026Q2,25058,256,220.95,6,2026-08-01 03:12:44
2026-06-14,F-1001,AUR_US_Meta_Prospecting_2026Q2,24125,272,211.5,9,2026-08-01 03:12:44
2026-06-14,F-1001,AUR_US_Meta_Prospecting_2026Q2,24125,272,211.5,9,2026-08-01 03:12:44
2026-06-15,F-1001,AUR_US_Meta_Prospecting_2026Q2,34853,347,313.4,10,2026-08-01 03:12:44
2026-06-16,F-1001,AUR_US_Meta_Prospecting_2026Q2,30165,339,301.41,10,2026-08-01 03:12:44
2026-06-17,F-1001,AUR_US_Meta_Prospecting_2026Q2,29186,276,297.78,8,2026-08-01 03:12:44
2026-06-18,F-1001,AUR_US_Meta_Prospecting_2026Q2,29696,305,291.18,2,2026-08-01 03:12:44
2026-06-19,F-1001,AUR_US_Meta_Prospecting_2026Q2,24329,304,252.08,8,2026-08-01 03:12:44
2026-06-20,F-1001,AUR_US_Meta_Prospecting_2026Q2,20999,226,181.53,8,2026-08-01 03:12:44
2026-06-21,F-1001,AUR_US_Meta_Prospecting_2026Q2,24679,273,216.95,10,2026-08-01 03:12:44
2026-06-22,F-1001,AUR_US_Meta_Prospecting_2026Q2,27418,288,262.91,12,2026-08-01 03:12:44
2026-06-23,F-1001,AUR_US_Meta_Prospecting_2026Q2,35426,331,363.01,10,2026-08-01 03:12:44
2026-06-24,F-1001,AUR_US_Meta_Prospecting_2026Q2,34686,400,333.13,11,2026-08-01 03:12:44
2026-06-25,F-1001,AUR_US_Meta_Prospecting_2026Q2,31089,319,276.02,12,2026-08-01 03:12:44
2026-06-26,F-1001,AUR_US_Meta_Prospecting_2026Q2,31411,383,304.62,15,2026-08-01 03:12:44
2026-06-27,F-1001,AUR_US_Meta_Prospecting_2026Q2,20834,197,218.19,4,2026-08-01 03:12:44
2026-06-28,F-1001,AUR_US_Meta_Prospecting_2026Q2,23109,270,210.49,8,2026-08-01 03:12:44
2026-06-29,F-1001,AUR_US_Meta_Prospecting_2026Q2,27467,290,274.97,5,2026-08-01 03:12:44
2026-06-30,F-1001,AUR_US_Meta_Prospecting_2026Q2,26482,291,261.57,9,2026-08-01 03:12:44
2026-07-01,F-1001,AUR_US_Meta_Prospecting_2026Q2,37530,462,353.96,11,2026-08-01 03:12:44
2026-07-02,F-1001,AUR_US_Meta_Prospecting_2026Q2,32838,316,331.42,7,2026-08-01 03:12:44
2026-07-03,F-1001,AUR_US_Meta_Prospecting_2026Q2,25657,244,258.38,6,2026-08-01 03:12:44
2026-07-04,F-1001,AUR_US_Meta_Prospecting_2026Q2,22023,274,229.79,8,2026-08-01 03:12:44
2026-07-05,F-1001,AUR_US_Meta_Prospecting_2026Q2,18465,195,177.19,5,2026-08-01 03:12:44
2026-07-06,F-1001,AUR_US_Meta_Prospecting_2026Q2,36294,395,340.16,10,2026-08-01 03:12:44
2026-07-07,F-1001,AUR_US_Meta_Prospecting_2026Q2,37595,451,363.66,12,2026-08-01 03:12:44
2026-07-08,F-1001,AUR_US_Meta_Prospecting_2026Q2,38240,451,351.34,0,2026-08-01 03:12:44
2026-07-09,F-1001,AUR_US_Meta_Prospecting_2026Q2,35725,395,310.31,0,2026-08-01 03:12:44
2026-07-10,F-1001,AUR_US_Meta_Prospecting_2026Q2,30886,316,271.64,0,2026-08-01 03:12:44
2026-07-11,F-1001,AUR_US_Meta_Prospecting_2026Q2,23871,259,221.36,0,2026-08-01 03:12:44
2026-07-12,F-1001,AUR_US_Meta_Prospecting_2026Q2,18831,210,175.46,7,2026-08-01 03:12:44
2026-07-13,F-1001,AUR_US_Meta_Prospecting_2026Q2,28416,295,295.67,13,2026-08-01 03:12:44
2026-07-14,F-1001,AUR_US_Meta_Prospecting_2026Q2,36480,440,328.2,13,2026-08-01 03:12:44
2026-07-15,F-1001,AUR_US_Meta_Prospecting_2026Q2,29671,325,271.5,13,2026-08-01 03:12:44
2026-07-16,F-1001,AUR_US_Meta_Prospecting_2026Q2,30413,366,274.16,16,2026-08-01 03:12:44
2026-07-17,F-1001,AUR_US_Meta_Prospecting_2026Q2,38034,371,331.68,8,2026-08-01 03:12:44
2026-07-18,F-1001,AUR_US_Meta_Prospecting_2026Q2,24038,294,212.52,12,2026-08-01 03:12:44
2026-07-19,F-1001,AUR_US_Meta_Prospecting_2026Q2,21226,261,207.35,4,2026-08-01 03:12:44
2026-07-20,F-1001,AUR_US_Meta_Prospecting_2026Q2,32518,344,287.77,12,2026-08-01 03:12:44
2026-07-21,F-1001,AUR_US_Meta_Prospecting_2026Q2,29411,278,268.76,7,2026-08-01 03:12:44
