date,campaign_id,impressions,clicks,cost,conversions
2026-05-01,G-2001,8609,353,176.63,6
2026-05-02,G-2001,5626,221,119.42,2
2026-05-03,G-2001,7180,317,153.19,6
2026-05-04,G-2001,9957,449,216.03,11
2026-05-05,G-2001,10613,421,226.69,7
2026-05-06,G-2001,10036,396,213.64,8
2026-05-07,G-2001,8140,351,179.03,10
2026-05-08,G-2001,6653,266,160.2,6
2026-05-09,G-2001,5409,210,121.57,4
2026-05-10,G-2001,6979,262,147.89,6
2026-05-11,G-2001,10021,378,222.53,11
2026-05-12,G-2001,10724,407,239.35,12
2026-05-13,G-2001,10456,408,238.91,11
2026-05-14,G-2001,9005,403,210.25,15
2026-05-15,G-2001,7584,312,163.72,7
2026-05-16,G-2001,6639,253,145.95,6
2026-05-17,G-2001,7828,332,165.1,10
2026-05-18,G-2001,9242,377,203.33,7
2026-05-19,G-2001,10142,411,226.58,12
2026-05-20,G-2001,10037,440,207.5,9
2026-05-21,G-2001,10253,388,223.61,8
2026-05-22,G-2001,8619,352,201.15,8
2026-05-23,G-2001,6888,298,157.2,7
2026-05-24,G-2001,7665,314,173.77,7
2026-05-25,G-2001,9290,385,217.12,8
2026-05-26,G-2001,9402,375,213.25,11
2026-05-27,G-2001,8931,395,199.4,9
2026-05-28,G-2001,9677,387,203.55,6
2026-05-29,G-2001,8112,324,169.34,7
2026-05-30,G-2001,6872,326,155.16,6
2026-05-31,G-2001,6686,310,156.02,6
2026-06-01,G-2001,9032,404,219.15,11
2026-06-02,G-2001,10331,431,240.75,10
2026-06-03,G-2001,10186,412,223.89,11
2026-06-04,G-2001,9069,407,203.55,13
2026-06-05,G-2001,8443,346,188.14,12
2026-06-06,G-2001,6051,234,136.21,8
2026-06-07,G-2001,8164,336,181.61,7
2026-06-08,G-2001,10954,450,238.85,10
2026-06-09,G-2001,10577,411,234.65,5
2026-06-10,G-2001,9713,416,212.53,6
2026-06-11,G-2001,9243,364,205.91,8
2026-06-12,G-2001,7244,278,165.78,7
2026-06-13,G-2001,6638,294,135.64,9
2026-06-14,G-2001,8405,368,174.23,11
2026-06-15,G-2001,11130,434,233.54,12
2026-06-16,G-2001,9912,379,217.39,9
2026-06-17,G-2001,10566,427,230.54,11
2026-06-18,G-2001,10154,421,223.65,8
