date,campaign_id,impressions,clicks,spend,conversions
2026-05-01,T-3001,21611,402,123.05,6
2026-05-02,T-3001,13994,216,70.6,9
2026-05-03,T-3001,14288,222,83.9,10
2026-05-04,T-3001,16981,273,99.68,12
2026-05-05,T-3001,20859,352,117.53,18
2026-05-06,T-3001,23965,378,140.04,20
2026-05-07,T-3001,18153,308,100.2,26
2026-05-08,T-3001,23293,380,123.65,30
2026-05-09,T-3001,13680,206,77.44,32
2026-05-10,T-3001,11946,193,65.25,35
2026-05-11,T-3001,18298,322,99.67,39
2026-05-12,T-3001,19696,340,111.57,45
2026-05-13,T-3001,21375,310,122.23,49
2026-05-14,T-3001,25703,417,133.47,52
2026-05-15,T-3001,21691,393,122.43,54
2026-05-16,T-3001,16627,283,93.53,57
2026-05-17,T-3001,14606,258,84.4,60
2026-05-18,T-3001,16985,313,94.35,61
2026-05-19,T-3001,23456,396,123.15,64
2026-05-20,T-3001,22249,429,125.64,68
2026-05-21,T-3001,23126,365,131.26,72
2026-05-22,T-3001,19358,349,106.45,75
2026-05-23,T-3001,16500,248,88.67,76
2026-05-24,T-3001,14697,262,88.36,77
2026-05-25,T-3001,19213,300,107.29,78
2026-05-26,T-3001,22439,413,132.49,82
2026-05-27,T-3001,21007,342,120.1,88
2026-05-28,T-3001,19696,373,115.04,89
2026-05-29,T-3001,18505,294,96.36,91
2026-05-30,T-3001,18606,332,94.7,97
2026-05-31,T-3001,12376,193,69.86,99
2026-06-01,T-3001,19431,365,117.54,102
2026-06-02,T-3001,18638,293,110.25,107
2026-06-03,T-3001,23618,410,137.61,113
2026-06-04,T-3001,25716,409,131.57,118
2026-06-05,T-3001,21200,368,120.28,123
2026-06-06,T-3001,14641,240,89.43,125
2026-06-07,T-3001,13975,211,71.88,127
2026-06-08,T-3001,20427,320,110.48,132
2026-06-09,T-3001,17958,277,99.55,137
2026-06-10,T-3001,20473,332,106.51,141
2026-06-11,T-3001,25434,454,135.55,144
2026-06-12,T-3001,17153,265,97.68,148
2026-06-13,T-3001,14517,283,87.25,150
2026-06-14,T-3001,13882,208,72.69,152
2026-06-15,T-3001,20840,311,115.15,157
2026-06-16,T-3001,22427,339,120.52,161
2026-06-17,T-3001,18273,314,103.95,164
2026-06-18,T-3001,21371,394,128.25,170
2026-06-19,T-3001,18772,301,100.56,172
2026-06-20,T-3001,15889,304,87.8,176
2026-06-21,T-3001,15311,286,79.19,183
2026-06-22,T-3001,17150,248,102.78,186
2026-06-23,T-3001,23483,364,136.69,192
2026-06-24,T-3001,18498,297,103.95,196
2026-06-25,T-3001,20993,362,115.77,198
2026-06-26,T-3001,19853,296,109.08,199
2026-06-27,T-3001,15365,250,77.61,204
2026-06-28,T-3001,12150,190,67.34,208
2026-06-29,T-3001,22325,334,115.33,213
2026-06-30,T-3001,24129,435,135.32,217
2026-07-01,T-3001,23452,382,117.46,224
2026-07-02,T-3001,21368,401,119.88,226
2026-07-03,T-3001,22848,363,121.2,226
2026-07-04,T-3001,16103,253,93.63,231
2026-07-05,T-3001,12629,215,75.47,233
2026-07-06,T-3001,21480,347,110.43,236
2026-07-07,T-3001,23025,427,117.83,242
2026-07-08,T-3001,22864,433,126.84,244
2026-07-09,T-3001,22134,325,118.18,250
2026-07-10,T-3001,18233,294,109.85,253
2026-07-11,T-3001,14737,226,85.65,258
2026-07-12,T-3001,12762,241,77.33,261
2026-07-13,T-3001,19554,291,106.64,263
2026-07-14,T-3001,19568,349,101.97,271
2026-07-15,T-3001,21440,388,120.47,276
2026-07-16,T-3001,23506,358,139.4,282
2026-07-17,T-3001,20458,396,109.93,291
2026-07-18,T-3001,15454,254,80.62,292
2026-07-19,T-3001,11517,182,70.15,297
2026-07-20,T-3001,20244,386,108.26,301
2026-07-21,T-3001,21130,363,121.24,304
2026-07-22,T-3001,23556,438,131.79,311
2026-07-23,T-3001,25346,426,140.31,317
2026-07-24,T-3001,22320,365,112.79,320
2026-07-25,T-3001,15519,229,88.14,322
2026-07-26,T-3001,13534,231,72.53,325
2026-07-27,T-3001,20823,326,118.4,329
2026-07-28,T-3001,26440,479,142.12,334
2026-07-29,T-3001,25744,491,138.61,337
2026-07-30,T-3001,23873,409,137.23,339
2026-07-31,T-3001,24376,412,125.82,343
2026-05-01,T-3002,27180,471,136.55,6
2026-05-02,T-3002,20504,414,109.63,15
2026-05-03,T-3002,16203,305,91.86,23
2026-05-04,T-3002,25254,411,144.99,33
2026-05-05,T-3002,27591,557,147.23,42
2026-05-06,T-3002,21089,402,126.75,56
2026-05-07,T-3002,26823,476,134.97,64
2026-05-08,T-3002,28167,535,143.74,74
2026-05-09,T-3002,20700,369,120.89,78
2026-05-10,T-3002,14335,240,82.8,81
2026-05-11,T-3002,29724,626,162.41,92
2026-05-12,T-3002,22751,467,123.88,98
2026-05-13,T-3002,24081,510,139.62,106
2026-05-14,T-3002,32399,703,165.7,115
2026-05-15,T-3002,20045,328,115.56,119
2026-05-16,T-3002,22780,453,118.63,121
2026-05-17,T-3002,18151,359,97.07,123
2026-05-18,T-3002,26774,526,134.34,132
2026-05-19,T-3002,27623,518,152.17,139
2026-05-20,T-3002,30114,589,181.01,149
2026-05-21,T-3002,24595,476,146.64,159
2026-05-22,T-3002,26191,520,142.52,168
2026-05-23,T-3002,20631,342,105.71,172
2026-05-24,T-3002,20203,329,110.8,176
2026-05-25,T-3002,21524,358,121.35,184
2026-05-26,T-3002,22120,461,127.62,194
2026-05-27,T-3002,34288,600,175.09,201
2026-05-28,T-3002,26796,527,159.71,211
2026-05-29,T-3002,22915,460,117.68,214
2026-05-30,T-3002,17885,358,94.62,220
2026-05-31,T-3002,19894,421,106.61,228
2026-06-01,T-3002,27355,514,165.35,244
2026-06-02,T-3002,32161,658,179.02,258
2026-06-03,T-3002,28866,591,162.49,268
2026-06-04,T-3002,32261,568,174.75,277
2026-06-05,T-3002,30465,646,153.72,290
2026-06-06,T-3002,20476,340,117.11,296
2026-06-07,T-3002,16697,305,91.12,307
2026-06-08,T-3002,26834,500,135.49,314
2026-06-09,T-3002,36206,785,183.05,325
2026-06-10,T-3002,27457,484,158.04,333
2026-06-11,T-3002,32495,695,166.56,339
2026-06-12,T-3002,30470,652,167.93,349
2026-06-13,T-3002,18620,315,101.98,356
2026-06-14,T-3002,19049,368,97.54,364
2026-06-15,T-3002,26254,548,135.88,369
2026-06-16,T-3002,23227,459,137.31,376
2026-06-17,T-3002,29320,577,149.92,384
2026-06-18,T-3002,28734,500,151.0,390
2026-06-19,T-3002,24671,467,150.1,396
